id_registro,fecha,semana,mes,mes_num,siembra,cama,variedad,tallos_procesados,tallos_70,tallos_60,tallos_55,tallos_50,nacional,basura,aprovechamiento_pct,descarte_pct,ingreso_total,estado_aprovechamiento,estado_descarte,observaciones
1,2026-03-30,14,Marzo,3,,,GREEN,4250.0,3370.0,0.0,0.0,0.0,860.0,20.0,0.9952941176470588,0.004705882352941176,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
2,2026-04-03,14,Abril,4,,,GREEN,3800.0,780.0,600.0,630.0,0.0,1760.0,30.0,0.9921052631578947,0.007894736842105263,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
3,2026-04-03,14,Abril,4,,,PEACH,1400.0,440.0,440.0,280.0,0.0,230.0,10.0,0.9928571428571429,0.007142857142857143,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
4,2026-04-06,15,Abril,4,14,7,PEACH,150.0,0.0,0.0,130.0,0.0,20.0,0.0,1.0,0.0,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
5,2026-04-09,15,Abril,4,,,PEACH,2700.0,480.0,940.0,1130.0,0.0,135.0,15.0,0.9944444444444445,0.005555555555555556,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
6,2026-04-16,16,Abril,4,,,GREEN,3650.0,450.0,1850.0,1200.0,0.0,130.0,20.0,0.9945205479452055,0.005479452054794521,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
7,2026-04-17,16,Abril,4,,,PEACH,2230.0,910.0,540.0,250.0,0.0,520.0,10.0,0.9955156950672646,0.004484304932735426,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
8,2026-04-18,16,Abril,4,,,GREEN,5400.0,820.0,1150.0,2080.0,0.0,1290.0,60.0,0.9888888888888889,0.011111111111111112,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
9,2026-04-20,17,Abril,4,,,GREEN,10400.0,2290.0,2780.0,4850.0,0.0,440.0,40.0,0.9961538461538462,0.0038461538461538464,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
10,2026-04-21,17,Abril,4,,,GREEN,11000.0,3610.0,2520.0,2470.0,0.0,2380.0,20.0,0.9981818181818182,0.0018181818181818182,0.0,OK,OK,Importado de REPORTE POSCOSECHA 1.xlsx
